Player,Team,Age,GP,W,L,MIN,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PTMR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST
Carmelo Anthony,LAL,37,69,27,42,26.0,45.1,54.9,37.0,19.4,48.6,13.3,14.4,14.1,17.6,48.2,51.8,91.9,8.1,68.7,31.3
Cedi Osman,CLE,27,66,37,29,22.1,37.2,62.8,33.6,2.3,54.2,18.2,12.2,16.1,31.3,68.9,31.1,86.7,13.3,78.1,21.9
Chimezie Metu,SAC,25,60,23,37,21.3,58.6,41.4,54.7,7.1,32.0,8.8,13.3,16.5,47.6,74.0,26.0,96.5,3.5,80.3,19.7
Chris Boucher,TOR,29,80,48,32,21.1,60.3,39.7,53.1,1.9,27.1,13.5,19.8,14.7,51.2,67.0,33.0,98.5,1.5,75.0,25.0
Chris Duarte,IND,24,55,21,34,28.0,58.9,41.1,48.3,15.3,39.2,18.6,12.5,15.6,33.1,47.7,52.3,78.7,21.3,58.6,41.4
Chris Paul,PHX,36,65,53,12,32.9,73.0,27.0,62.6,32.2,19.7,5.1,17.7,11.5,30.5,9.7,90.3,41.3,58.7,15.2,84.8
Christian Wood,HOU,26,68,19,49,30.8,61.7,38.3,50.7,1.8,32.3,5.7,17.0,12.6,48.9,60.5,39.5,84.7,15.3,67.7,32.3
Chuma Okeke,ORL,23,70,21,49,25.0,35.5,64.5,32.4,4.0,58.5,10.1,9.1,14.4,28.4,53.1,46.9,96.6,3.4,76.9,23.1
Clint Capela,ATL,27,74,40,34,27.6,99.8,0.2,90.2,0.5,0.0,7.2,9.8,9.6,89.8,76.5,23.5,0.0,0.0,76.5,23.5
Coby White,CHI,22,61,32,29,27.5,45.2,54.8,37.0,7.0,52.8,13.5,10.2,14.2,30.1,42.0,58.0,89.7,10.3,65.2,34.8
Cody Martin,CHA,26,71,41,30,26.3,62.4,37.6,52.6,4.0,33.6,21.9,13.8,21.3,48.5,63.6,36.4,88.5,11.5,71.1,28.9
Cole Anthony,ORL,21,65,18,47,31.7,57.1,42.9,42.4,8.9,37.3,11.9,20.3,10.2,33.5,24.0,76.0,66.7,33.3,39.8,60.2
Corey Kispert,WAS,23,77,31,46,23.4,37.7,62.3,38.5,3.2,53.0,12.0,8.5,14.7,35.3,80.3,19.7,98.2,1.8,88.9,11.1
Cory Joseph,DET,30,65,19,46,24.6,60.8,39.3,43.4,6.9,37.4,4.0,19.2,16.1,36.5,41.6,58.4,86.2,13.8,57.9,42.1
D'Angelo Russell,MIN,26,65,39,26,31.9,46.9,53.1,38.3,12.1,44.9,12.6,16.8,13.9,26.2,28.0,72.0,63.1,36.9,43.4,56.6
D.J. Augustin,LAL,34,55,15,40,16.1,26.1,73.9,17.7,1.4,69.4,13.9,12.9,14.6,16.3,30.8,69.2,82.4,17.6,68.1,31.9
Dalano Banton,TOR,22,64,37,27,10.9,74.8,25.2,68.3,8.8,19.0,15.6,12.7,17.6,59.5,32.9,67.1,76.9,23.1,39.8,60.2
Damian Jones,SAC,26,56,19,37,18.2,89.1,10.9,72.7,7.0,6.6,2.2,20.7,9.9,65.6,79.4,20.6,90.0,10.0,80.0,20.0
Damion Lee,GSW,29,63,41,22,19.9,51.2,48.8,45.4,6.9,40.5,12.0,14.1,16.9,38.5,73.6,26.4,98.4,1.6,82.8,17.2
Daniel Gafford,WAS,23,72,30,42,20.1,99.8,0.2,84.2,0.6,0.0,7.5,15.8,12.6,83.6,73.7,26.3,0.0,0.0,73.7,26.3
Daniel Theis,BOS,30,47,20,27,20.8,63.2,36.8,61.5,4.2,25.8,5.7,12.7,12.8,57.3,79.7,20.3,97.0,3.0,83.4,16.6
Danilo Gallinari,ATL,33,66,35,31,25.3,50.8,49.2,38.1,16.1,43.6,3.4,18.3,10.9,22.0,46.9,53.1,92.0,8.0,66.4,33.6
Danny Green,PHI,34,62,37,25,21.8,15.3,84.7,12.6,2.2,84.4,16.1,3.0,13.4,10.4,87.0,13.0,92.2,7.8,91.3,8.7
Danuel House Jr.,UTA,28,42,18,24,17.3,40.9,59.1,29.0,4.8,53.2,19.0,17.8,23.0,24.2,75.0,25.0,93.2,6.8,85.0,15.0
Darius Bazley,OKC,21,69,19,50,27.9,58.6,41.4,52.1,1.1,32.2,11.8,15.7,15.6,51.0,63.9,36.1,95.0,5.0,73.0,27.0
Darius Garland,CLE,22,68,37,31,35.7,61.3,38.7,50.0,14.0,35.4,8.6,14.6,14.1,36.0,26.1,73.9,48.9,51.1,33.4,66.6
David Nwaba,HOU,29,46,6,40,13.2,72.2,27.8,60.1,0.0,19.3,19.3,20.6,19.7,60.1,54.3,45.7,100,0.0,62.4,37.6
Davion Mitchell,SAC,23,75,28,47,27.7,62.0,38.0,58.3,18.1,35.2,8.5,6.5,16.3,40.2,23.1,76.9,66.3,33.7,35.5,64.5
Davis Bertans,DAL,29,56,32,24,14.4,16.4,83.6,14.1,1.9,74.3,9.6,11.6,14.5,12.2,86.4,13.6,98.7,1.3,96.0,4.0
Davon Reed,DEN,26,48,29,19,13.9,46.6,53.4,42.1,13.4,53.1,10.0,4.8,14.8,28.7,59.1,40.9,91.9,8.1,74.1,25.9
De'Aaron Fox,SAC,24,59,22,37,35.3,77.2,22.8,64.7,14.3,16.2,11.9,19.1,11.3,50.3,21.5,78.5,55.4,44.6,26.4,73.6
De'Andre Hunter,ATL,24,53,28,25,29.8,66.1,33.9,50.8,11.8,31.3,10.3,17.9,15.0,38.9,66.1,33.9,93.2,6.8,74.0,26.0
De'Anthony Melton,MEM,23,73,49,24,22.7,46.5,53.5,35.9,4.8,52.7,24.9,11.4,17.7,31.1,47.2,52.8,85.6,14.4,66.2,33.8
DeAndre Jordan,PHI,33,48,26,22,13.0,100,0.0,89.3,0.0,0.0,7.8,10.7,10.2,89.3,79.3,20.7,0.0,0.0,79.3,20.7
DeAndre' Bembry,MIL,27,56,31,25,18.3,83.7,16.3,76.8,0.0,15.8,19.7,7.4,23.2,76.8,72.5,27.5,100,0.0,75.8,24.2
