Player, %AST, %OREB, %DREB, %STL, %BLK, FREQ_6, Diff%_6, FREQ_15, Diff%_15, Freq_Handoff_Off, eFG%_Handoff_Off, Freq_Iso_Def, eFG%_Iso_Def, Freq_Iso_Off, eFG%_Iso_Off, Freq_OffScreen_Off, eFG%_OffScreen_Off, Freq_P&R_Handler_Off, eFG%_P&R_Handler_Off, Freq_P&R_Man_Off, eFG%_P&R_Man_Off, Freq_Postup_Off, eFG%_Postup_Off, Freq_Putbacks_Off, eFG%_Putbacks_Off, Freq_Spotup_Off, eFG%_Spotup_Off, Freq_Tight, eFG%_Tight, Freq_Open, eFG%_Open, FGA_Catch_And_Shoot, EFG%_Catch_And_Shoot, FGA_Pull_Up, EFG%_Pull_Up, DRIVES_Drives, FG%_Drives
Pat Connaughton, 21, 41, 52, 70, 30, 9, 20, 94, 46, 86, 78, 18, 6, 28, 28, 75, 77, 41, 70, 73, 90, 21, 19, 39, 100, 91, 89, 8, 89, 88, 83, 95, 82, 19, 88, 37, 95
Patrick Beverley, 91, 53, 51, 75, 80, 68, 34, 63, 75, 39, 64, 12, 70, 77, 65, 26, 41, 79, 60, 21, 21, 21, 20, 58, 72, 72, 69, 28, 31, 90, 44, 55, 76, 63, 28, 74, 56
Patty Mills, 46, 1, 1, 22, 11, 25, 15, 77, 13, 98, 86, 54, 34, 52, 49, 93, 71, 58, 45, 60, 83, 21, 20, 15, 11, 74, 91, 11, 25, 96, 60, 95, 93, 77, 54, 44, 16
Payton Pritchard, 81, 45, 22, 49, 7, 40, 25, 24, 75, 53, 99, 57, 81, 63, 100, 74, 73, 77, 76, 13, 20, 21, 20, 15, 12, 83, 64, 4, 17, 81, 66, 51, 90, 57, 91, 43, 15
Precious Achiuwa, 25, 77, 85, 8, 70, 90, 93, 16, 76, 38, 38, 94, 59, 75, 56, 44, 40, 33, 31, 82, 70, 75, 85, 85, 41, 45, 20, 78, 26, 28, 9, 49, 51, 45, 22, 47, 18
Quentin Grimes, 36, 44, 12, 83, 42, 7, 24, 95, 67, 62, 99, 34, 85, 29, 29, 85, 94, 48, 31, 13, 19, 22, 21, 56, 28, 98, 95, 9, 65, 89, 26, 68, 89, 49, 30, 21, 22
R.J. Hampton, 74, 26, 44, 67, 34, 28, 1, 78, 39, 91, 42, 11, 14, 63, 76, 39, 40, 76, 37, 9, 18, 22, 21, 37, 68, 57, 72, 50, 3, 53, 18, 42, 82, 50, 15, 78, 9
RJ Barrett, 62, 33, 56, 11, 15, 21, 29, 91, 30, 64, 95, 30, 72, 75, 58, 63, 57, 81, 46, 5, 18, 70, 79, 44, 46, 51, 30, 78, 14, 46, 14, 88, 57, 74, 26, 95, 26
Raul Neto, 84, 3, 14, 89, 2, 43, 10, 43, 49, 80, 90, 49, 16, 64, 58, 63, 53, 95, 88, 5, 17, 23, 21, 4, 13, 42, 27, 72, 44, 34, 79, 20, 11, 62, 81, 80, 57
Reggie Bullock, 16, 22, 34, 22, 22, 75, 21, 15, 60, 66, 49, 75, 20, 29, 29, 85, 75, 38, 43, 65, 55, 26, 21, 43, 46, 95, 81, 4, 19, 42, 37, 96, 68, 42, 47, 18, 20
