Player, %AST, %OREB, %DREB, %STL, %BLK, FREQ_6, Diff%_6, FREQ_15, Diff%_15, Freq_Handoff_Off, eFG%_Handoff_Off, Freq_Iso_Def, eFG%_Iso_Def, Freq_Iso_Off, eFG%_Iso_Off, Freq_OffScreen_Off, eFG%_OffScreen_Off, Freq_P&R_Handler_Off, eFG%_P&R_Handler_Off, Freq_P&R_Man_Off, eFG%_P&R_Man_Off, Freq_Postup_Off, eFG%_Postup_Off, Freq_Putbacks_Off, eFG%_Putbacks_Off, Freq_Spotup_Off, eFG%_Spotup_Off, Freq_Tight, eFG%_Tight, Freq_Open, eFG%_Open, FGA_Catch_And_Shoot, EFG%_Catch_And_Shoot, FGA_Pull_Up, EFG%_Pull_Up, DRIVES_Drives, FG%_Drives
Franz Wagner, 61, 56, 30, 61, 44, 27, 93, 72, 25, 89, 57, 70, 35, 62, 87, 68, 87, 80, 55, 55, 52, 68, 70, 54, 51, 40, 60, 80, 47, 20, 70, 46, 59, 62, 63, 86, 44
Fred VanVleet, 95, 10, 31, 79, 48, 75, 77, 16, 14, 88, 76, 36, 31, 85, 71, 75, 81, 91, 76, 53, 87, 53, 64, 29, 46, 29, 91, 23, 4, 91, 67, 89, 95, 97, 73, 95, 22
Furkan Korkmaz, 60, 20, 35, 15, 8, 35, 38, 88, 52, 82, 66, 69, 9, 22, 22, 81, 89, 79, 46, 10, 10, 53, 61, 36, 81, 75, 23, 17, 20, 85, 11, 55, 23, 64, 37, 58, 51
Gabe Vincent, 77, 11, 3, 83, 28, 4, 12, 97, 44, 88, 89, 41, 80, 70, 55, 76, 90, 85, 70, 10, 10, 54, 62, 11, 13, 54, 83, 16, 82, 87, 31, 62, 75, 73, 72, 70, 60
Garrett Temple, 42, 30, 35, 80, 71, 27, 72, 50, 59, 70, 37, 70, 79, 8, 8, 76, 75, 55, 36, 11, 11, 54, 63, 50, 68, 93, 34, 5, 56, 80, 9, 54, 43, 45, 14, 36, 10
Garrison Mathews, 4, 24, 25, 71, 47, 76, 61, 35, 15, 99, 66, 89, 21, 8, 8, 95, 69, 38, 95, 27, 14, 54, 55, 11, 13, 81, 92, 54, 9, 76, 90, 92, 63, 42, 77, 26, 20
Gary Harris, 38, 38, 0, 66, 7, 10, 26, 76, 16, 98, 82, 28, 65, 49, 54, 83, 82, 64, 39, 11, 11, 54, 56, 47, 30, 64, 71, 21, 53, 84, 38, 81, 89, 66, 23, 58, 61
Gary Payton II, 15, 75, 57, 98, 52, 58, 57, 49, 96, 2, 11, 38, 70, 8, 8, 1, 5, 16, 11, 61, 88, 55, 55, 82, 83, 48, 75, 57, 99, 25, 95, 27, 70, 8, 9, 9, 83
Gary Trent Jr., 39, 1, 5, 87, 18, 44, 11, 77, 16, 89, 83, 56, 8, 79, 79, 89, 90, 76, 54, 48, 95, 55, 58, 27, 70, 48, 70, 48, 6, 91, 62, 89, 86, 95, 71, 66, 30
George Hill, 64, 46, 10, 54, 9, 6, 37, 74, 81, 53, 94, 56, 46, 71, 64, 2, 3, 76, 52, 11, 12, 56, 58, 51, 86, 71, 38, 26, 47, 29, 32, 40, 58, 45, 13, 55, 23
Georges Niang, 32, 15, 26, 7, 15, 42, 68, 50, 60, 61, 99, 97, 31, 9, 9, 67, 91, 37, 99, 72, 89, 56, 56, 37, 34, 100, 80, 6, 64, 77, 74, 91, 82, 34, 52, 50, 60
Giannis Antetokounmpo, 89, 78, 95, 58, 93, 56, 97, 65, 68, 37, 50, 53, 15, 97, 87, 50, 97, 53, 64, 73, 89, 92, 91, 64, 88, 20, 77, 80, 94, 48, 39, 18, 35, 92, 51, 93, 93
Goga Bitadze, 40, 90, 66, 46, 95, 99, 38, 6, 98, 3, 6, 91, 75, 9, 9, 3, 4, 17, 17, 97, 88, 84, 78, 92, 68, 27, 15, 68, 95, 20, 7, 29, 18, 15, 5, 9, 98
Gordon Hayward, 64, 37, 43, 28, 43, 47, 66, 47, 25, 86, 79, 79, 76, 77, 93, 81, 81, 66, 53, 62, 80, 81, 67, 40, 38, 40, 63, 24, 23, 68, 76, 82, 65, 79, 77, 84, 20
Gorgui Dieng, 63, 89, 93, 65, 91, 42, 71, 42, 1, 3, 5, 7, 95, 9, 9, 3, 5, 19, 17, 12, 13, 47, 37, 9, 12, 11, 13, 9, 83, 50, 82, 25, 57, 33, 97, 11, 5
Grant Williams, 9, 56, 36, 15, 69, 21, 52, 68, 87, 3, 0, 99, 53, 9, 9, 3, 5, 36, 79, 66, 78, 76, 97, 64, 90, 96, 90, 15, 55, 28, 68, 63, 88, 27, 45, 33, 40
Grayson Allen, 25, 23, 19, 25, 30, 8, 66, 97, 31, 95, 75, 16, 7, 10, 10, 93, 60, 57, 78, 63, 91, 36, 36, 34, 26, 83, 95, 11, 27, 30, 83, 89, 83, 58, 95, 65, 43
Greg Brown III, 32, 77, 70, 84, 89, 59, 6, 86, 77, 57, 42, 62, 1, 10, 10, 4, 12, 17, 18, 75, 60, 18, 36, 85, 82, 49, 19, 51, 23, 16, 78, 22, 19, 25, 11, 29, 5
Hamidou Diallo, 35, 69, 74, 95, 45, 64, 83, 74, 57, 58, 60, 56, 76, 67, 81, 54, 50, 61, 65, 56, 54, 9, 9, 76, 74, 58, 24, 80, 76, 40, 36, 28, 10, 58, 56, 70, 59
Harrison Barnes, 46, 54, 57, 20, 10, 62, 36, 48, 17, 94, 90, 60, 40, 73, 64, 72, 72, 57, 49, 64, 55, 75, 71, 56, 49, 65, 90, 54, 54, 40, 67, 69, 92, 58, 63, 83, 53
Hassan Whiteside, 1, 97, 98, 5, 100, 70, 81, 5, 11, 8, 1, 17, 26, 10, 10, 5, 19, 18, 19, 90, 92, 87, 87, 99, 66, 14, 26, 97, 97, 14, 85, 7, 14, 14, 5, 7, 98
Herbert Jones, 41, 59, 11, 93, 77, 14, 63, 88, 81, 43, 60, 61, 26, 44, 53, 56, 67, 51, 38, 6, 13, 10, 10, 67, 58, 84, 52, 58, 58, 11, 90, 53, 40, 21, 18, 59, 43
Ignas Brazdeikis, 44, 66, 15, 28, 10, 0, 44, 3, 35, 99, 81, 44, 51, 11, 11, 5, 20, 60, 73, 6, 7, 10, 10, 65, 86, 63, 40, 56, 60, 32, 3, 30, 32, 32, 53, 56, 49
Immanuel Quickley, 88, 13, 40, 55, 1, 28, 82, 83, 51, 63, 96, 25, 12, 88, 62, 57, 61, 91, 75, 6, 29, 10, 10, 28, 26, 46, 31, 43, 16, 36, 52, 30, 32, 88, 72, 81, 42
Isaac Okoro, 31, 55, 2, 56, 33, 33, 43, 42, 72, 47, 43, 59, 74, 61, 46, 12, 20, 45, 52, 0, 7, 11, 11, 66, 56, 77, 54, 58, 70, 4, 92, 43, 63, 23, 5, 54, 26
Isaiah Hartenstein, 72, 95, 73, 78, 95, 87, 95, 13, 48, 11, 1, 93, 25, 60, 75, 13, 21, 19, 20, 94, 89, 75, 68, 87, 62, 19, 41, 90, 95, 39, 87, 15, 97, 22, 24, 24, 31
Isaiah Joe, 30, 2, 11, 11, 4, 59, 50, 46, 79, 71, 41, 22, 84, 11, 11, 94, 94, 63, 35, 1, 6, 11, 11, 23, 10, 94, 87, 4, 28, 99, 6, 41, 61, 39, 13, 21, 18
Isaiah Roby, 51, 84, 65, 72, 83, 100, 58, 4, 99, 17, 2, 39, 20, 11, 11, 20, 21, 15, 16, 93, 75, 70, 74, 84, 59, 39, 80, 73, 38, 19, 96, 40, 65, 28, 98, 42, 33
Isaiah Stewart, 20, 93, 91, 1, 90, 47, 97, 32, 87, 17, 2, 98, 42, 11, 11, 20, 22, 14, 15, 84, 64, 90, 78, 98, 36, 20, 43, 89, 67, 5, 77, 15, 16, 7, 6, 9, 45
Ish Smith, 97, 37, 34, 87, 58, 23, 9, 53, 8, 18, 2, 7, 96, 12, 12, 20, 24, 14, 15, 1, 0, 11, 11, 8, 10, 9, 12, 34, 4, 99, 42, 10, 97, 81, 65, 84, 37
Ish Wainright, 10, 71, 4, 93, 41, 1, 42, 2, 85, 18, 3, 8, 96, 12, 12, 21, 22, 14, 13, 2, 1, 12, 11, 8, 10, 9, 9, 14, 18, 26, 5, 24, 25, 3, 4, 14, 98
Ivica Zubac, 42, 99, 92, 14, 93, 45, 90, 14, 3, 18, 3, 67, 52, 12, 12, 21, 22, 13, 11, 90, 77, 98, 94, 95, 59, 10, 7, 98, 93, 6, 87, 7, 12, 7, 97, 7, 95
Ja Morant, 95, 44, 49, 52, 20, 79, 91, 28, 28, 59, 80, 19, 55, 88, 82, 59, 85, 98, 77, 2, 1, 12, 12, 48, 54, 21, 34, 78, 53, 52, 65, 40, 41, 91, 57, 99, 69
JaMychal Green, 25, 82, 82, 77, 78, 62, 5, 46, 19, 19, 3, 56, 6, 13, 13, 21, 23, 13, 11, 95, 56, 78, 89, 89, 67, 30, 50, 71, 87, 37, 40, 44, 17, 9, 43, 8, 9
JaVale McGee, 3, 97, 96, 4, 98, 78, 96, 18, 24, 19, 4, 15, 59, 52, 43, 22, 23, 13, 11, 93, 96, 89, 83, 95, 66, 17, 56, 93, 91, 19, 92, 8, 8, 26, 61, 15, 28
Jaden McDaniels, 12, 60, 48, 30, 70, 52, 98, 66, 64, 58, 85, 89, 60, 13, 13, 69, 75, 40, 87, 61, 87, 13, 13, 70, 42, 89, 59, 38, 65, 38, 17, 69, 27, 42, 83, 49, 77
Jae Crowder, 24, 25, 72, 86, 62, 34, 23, 65, 64, 60, 48, 58, 60, 13, 13, 87, 85, 49, 94, 69, 75, 13, 13, 38, 39, 95, 67, 8, 14, 93, 56, 93, 54, 60, 51, 31, 86
Jae'Sean Tate, 71, 80, 59, 78, 66, 37, 67, 44, 65, 40, 44, 68, 30, 65, 97, 23, 24, 48, 95, 70, 83, 79, 95, 80, 67, 59, 28, 86, 80, 4, 74, 48, 25, 21, 70, 71, 68
Jakob Poeltl, 52, 96, 84, 19, 97, 95, 91, 5, 33, 22, 4, 64, 32, 47, 59, 23, 19, 12, 13, 98, 81, 90, 93, 93, 75, 13, 93, 93, 88, 19, 77, 23, 48, 24, 52, 23, 88
Jalen Brunson, 84, 24, 32, 57, 1, 9, 8, 93, 29, 82, 85, 14, 81, 91, 80, 60, 83, 88, 90, 50, 66, 69, 87, 9, 9, 44, 80, 72, 79, 61, 38, 49, 86, 87, 76, 96, 85
Jalen Green, 57, 20, 17, 16, 21, 93, 8, 38, 24, 85, 86, 38, 71, 87, 74, 82, 57, 85, 60, 3, 2, 36, 14, 30, 99, 37, 86, 42, 45, 71, 17, 76, 50, 85, 68, 85, 47
Jalen McDaniels, 29, 61, 64, 23, 61, 55, 81, 92, 74, 48, 64, 29, 1, 13, 13, 24, 15, 46, 97, 70, 59, 14, 36, 61, 27, 91, 76, 54, 56, 32, 52, 39, 63, 20, 60, 52, 50
Jalen Smith, 1, 85, 91, 7, 88, 81, 83, 18, 17, 20, 4, 4, 95, 14, 14, 24, 13, 11, 13, 4, 2, 14, 14, 9, 16, 10, 5, 62, 87, 14, 24, 56, 39, 20, 7, 17, 32
Jalen Suggs, 88, 31, 28, 92, 46, 44, 78, 69, 32, 76, 43, 18, 18, 73, 54, 55, 75, 86, 42, 4, 2, 67, 75, 33, 46, 38, 16, 52, 9, 58, 6, 50, 9, 78, 18, 86, 17
James Harden, 99, 39, 78, 68, 40, 69, 48, 44, 30, 60, 62, 54, 55, 100, 79, 25, 13, 87, 75, 5, 3, 14, 15, 42, 82, 18, 74, 82, 19, 73, 63, 16, 43, 94, 74, 98, 48
James Johnson, 70, 62, 58, 42, 76, 14, 90, 93, 75, 44, 45, 87, 78, 74, 80, 25, 14, 53, 98, 69, 59, 15, 15, 77, 44, 68, 22, 79, 60, 22, 62, 19, 19, 35, 12, 50, 88
Jared Butler, 92, 8, 33, 96, 68, 0, 40, 1, 83, 21, 5, 3, 89, 14, 14, 19, 14, 29, 14, 5, 3, 15, 15, 10, 9, 12, 6, 16, 29, 45, 40, 13, 59, 56, 83, 44, 70
Jaren Jackson Jr., 7, 62, 64, 37, 97, 84, 99, 31, 33, 73, 79, 73, 79, 62, 67, 87, 59, 39, 93, 76, 61, 91, 76, 71, 54, 58, 30, 75, 10, 15, 21, 92, 34, 38, 27, 74, 33
Jarred Vanderbilt, 19, 90, 92, 91, 62, 78, 78, 43, 91, 21, 5, 84, 7, 7, 7, 19, 15, 10, 7, 75, 83, 15, 15, 97, 43, 17, 17, 91, 69, 14, 97, 7, 5, 0, 25, 13, 18
Jarrett Allen, 18, 92, 91, 33, 92, 95, 99, 6, 95, 17, 9, 73, 24, 50, 98, 19, 15, 11, 34, 88, 92, 94, 92, 91, 91, 15, 38, 95, 97, 10, 85, 12, 12, 13, 83, 25, 99
Javonte Green, 7, 79, 46, 91, 68, 58, 74, 44, 84, 19, 12, 49, 43, 7, 7, 13, 15, 11, 15, 63, 51, 16, 16, 89, 50, 81, 55, 69, 79, 12, 91, 28, 42, 15, 83, 26, 85
Jaxson Hayes, 2, 79, 66, 8, 91, 31, 77, 89, 90, 17, 21, 90, 63, 7, 7, 13, 18, 11, 14, 86, 91, 68, 96, 91, 66, 26, 66, 86, 92, 27, 87, 18, 33, 16, 9, 19, 36
Jaylen Brown, 62, 36, 64, 62, 13, 33, 54, 70, 36, 56, 63, 22, 32, 83, 89, 91, 88, 68, 82, 49, 56, 75, 82, 38, 66, 45, 68, 69, 66, 77, 61, 90, 64, 89, 74, 91, 70
Jaylen Nowell, 73, 28, 28, 34, 23, 56, 5, 51, 56, 72, 48, 57, 11, 72, 81, 79, 89, 78, 87, 13, 4, 16, 17, 46, 98, 60, 77, 50, 57, 58, 61, 35, 72, 63, 89, 64, 48
Jayson Tatum, 73, 48, 79, 41, 44, 65, 88, 49, 44, 44, 55, 66, 67, 97, 72, 88, 68, 75, 88, 62, 62, 80, 72, 49, 56, 32, 75, 74, 54, 83, 41, 77, 61, 96, 66, 92, 55
Jeff Green, 14, 43, 22, 2, 56, 27, 27, 89, 89, 12, 12, 79, 54, 51, 44, 55, 66, 12, 14, 81, 75, 92, 91, 54, 28, 47, 73, 79, 92, 30, 36, 47, 29, 38, 28, 32, 90
Jerami Grant, 53, 16, 36, 67, 80, 66, 74, 64, 22, 83, 66, 78, 87, 92, 52, 88, 78, 58, 44, 65, 58, 81, 74, 36, 86, 58, 62, 36, 8, 85, 47, 96, 55, 82, 35, 83, 57
Jeremiah Robinson-Earl, 22, 78, 76, 40, 53, 89, 84, 19, 89, 12, 19, 58, 27, 3, 3, 15, 17, 12, 13, 99, 63, 17, 17, 83, 44, 54, 27, 2, 0, 2, 0, 3, 3, 6, 5, 3, 4
Jeremy Lamb, 58, 39, 57, 72, 61, 85, 6, 32, 99, 12, 19, 9, 98, 0, 0, 15, 17, 13, 15, 21, 4, 17, 9, 13, 11, 13, 1, 77, 5, 65, 50, 38, 41, 67, 59, 62, 27
Jericho Sims, 8, 95, 80, 18, 96, 3, 41, 3, 84, 13, 19, 60, 86, 1, 1, 16, 18, 15, 12, 96, 98, 17, 13, 96, 74, 9, 1, 85, 99, 35, 92, 0, 3, 4, 2, 3, 4
Jevon Carter, 69, 9, 25, 65, 45, 66, 32, 52, 63, 91, 71, 39, 62, 1, 1, 16, 25, 74, 49, 21, 4, 9, 9, 13, 12, 78, 41, 3, 3, 97, 19, 33, 53, 57, 93, 26, 7
Jimmy Butler, 85, 71, 49, 92, 69, 17, 24, 97, 59, 40, 58, 37, 33, 94, 76, 51, 74, 75, 56, 60, 70, 92, 75, 66, 90, 23, 18, 88, 32, 35, 29, 26, 15, 83, 48, 95, 60
Jock Landale, 41, 88, 48, 5, 74, 84, 98, 25, 87, 0, 0, 82, 67, 0, 0, 0, 0, 0, 0, 91, 78, 87, 92, 87, 52, 40, 84, 63, 83, 21, 87, 31, 30, 11, 85, 5, 0
Joe Ingles, 82, 2, 23, 20, 5, 5, 2, 92, 47, 87, 68, 26, 89, 1, 1, 93, 79, 81, 98, 21, 5, 4, 0, 14, 14, 71, 47, 5, 81, 74, 38, 67, 54, 60, 62, 60, 96
Joel Embiid, 77, 91, 98, 70, 89, 93, 87, 9, 37, 16, 20, 15, 75, 96, 74, 50, 58, 36, 90, 85, 81, 100, 81, 71, 60, 23, 62, 58, 71, 75, 30, 70, 53, 94, 61, 72, 92
John Collins, 26, 74, 83, 19, 82, 64, 70, 60, 3, 14, 20, 61, 15, 47, 95, 53, 66, 18, 12, 87, 96, 97, 77, 76, 48, 42, 32, 79, 74, 39, 80, 81, 48, 44, 50, 39, 85
John Konchar, 52, 65, 80, 28, 38, 92, 62, 29, 81, 50, 98, 26, 79, 2, 2, 17, 17, 45, 37, 22, 5, 1, 1, 85, 93, 85, 97, 23, 96, 33, 88, 29, 93, 28, 32, 27, 93
Jonas Valanciunas, 53, 89, 97, 4, 85, 30, 49, 17, 26, 14, 20, 16, 21, 50, 46, 60, 73, 18, 20, 89, 77, 99, 89, 90, 71, 17, 64, 85, 82, 25, 76, 63, 67, 43, 23, 30, 26
Jonathan Kuminga, 21, 71, 60, 25, 66, 66, 46, 45, 66, 47, 69, 87, 19, 70, 64, 58, 54, 43, 97, 71, 68, 85, 97, 70, 49, 60, 74, 69, 84, 32, 79, 37, 56, 28, 20, 50, 89
Jordan Clarkson, 65, 42, 15, 58, 15, 18, 39, 82, 43, 62, 71, 21, 85, 89, 81, 89, 79, 83, 89, 51, 51, 1, 1, 39, 64, 51, 30, 76, 45, 60, 17, 78, 28, 86, 81, 89, 75
Jordan McLaughlin, 90, 41, 8, 94, 20, 52, 49, 15, 5, 15, 21, 63, 19, 2, 2, 18, 17, 73, 48, 23, 5, 2, 2, 1, 1, 64, 38, 56, 17, 30, 16, 17, 35, 36, 44, 48, 8
Jordan Nwora, 21, 45, 68, 14, 52, 38, 19, 90, 42, 90, 40, 68, 22, 55, 95, 74, 63, 71, 69, 54, 64, 2, 2, 60, 60, 66, 57, 22, 25, 79, 13, 54, 38, 69, 45, 48, 39
Jordan Poole, 72, 13, 16, 23, 30, 26, 33, 74, 12, 96, 75, 26, 11, 82, 71, 95, 84, 78, 92, 50, 56, 2, 2, 28, 92, 30, 60, 29, 61, 65, 66, 88, 72, 85, 77, 83, 81
Jose Alvarado, 91, 34, 20, 100, 21, 7, 7, 99, 64, 73, 70, 24, 80, 59, 68, 7, 16, 89, 84, 23, 6, 3, 3, 1, 2, 50, 48, 64, 61, 24, 37, 29, 44, 52, 32, 71, 82
Josh Christopher, 72, 57, 37, 90, 25, 96, 3, 38, 55, 66, 40, 77, 46, 74, 48, 39, 16, 75, 81, 26, 6, 3, 3, 59, 76, 46, 34, 74, 63, 57, 7, 30, 28, 59, 47, 67, 46
Josh Giddey, 98, 73, 77, 50, 33, 95, 75, 33, 46, 55, 89, 66, 36, 68, 89, 18, 16, 91, 50, 24, 10, 3, 3, 65, 48, 39, 15, 54, 30, 29, 20, 63, 13, 76, 38, 93, 34
Josh Green, 48, 68, 32, 89, 51, 29, 28, 52, 82, 49, 37, 53, 34, 2, 2, 18, 14, 44, 43, 24, 14, 3, 3, 58, 39, 83, 42, 39, 66, 31, 56, 19, 56, 32, 33, 40, 32
Josh Hart, 75, 51, 79, 64, 27, 19, 18, 81, 42, 69, 52, 26, 12, 54, 91, 58, 62, 61, 83, 24, 14, 4, 4, 62, 44, 48, 50, 62, 86, 56, 56, 54, 41, 68, 76, 78, 87
Josh Jackson, 43, 46, 69, 43, 68, 80, 52, 39, 4, 22, 21, 4, 90, 3, 3, 17, 13, 17, 19, 25, 15, 4, 4, 2, 3, 8, 0, 59, 46, 60, 4, 44, 14, 51, 27, 42, 25
Josh Okogie, 19, 66, 9, 86, 58, 34, 92, 87, 6, 16, 22, 58, 39, 3, 3, 17, 19, 16, 19, 25, 22, 8, 8, 75, 32, 87, 28, 37, 3, 20, 64, 17, 15, 5, 100, 25, 28
Josh Richardson, 46, 36, 15, 69, 49, 74, 45, 24, 63, 55, 62, 71, 7, 59, 85, 67, 68, 65, 53, 25, 23, 5, 5, 43, 38, 96, 66, 47, 12, 82, 73, 75, 85, 65, 58, 68, 25
Joshua Primo, 48, 51, 9, 15, 67, 72, 75, 16, 48, 87, 56, 54, 68, 52, 95, 17, 21, 67, 72, 25, 23, 5, 5, 53, 96, 77, 29, 34, 15, 71, 42, 52, 21, 42, 28, 61, 11
Jrue Holiday, 96, 49, 18, 91, 52, 6, 58, 97, 41, 57, 56, 14, 84, 95, 92, 52, 58, 89, 93, 26, 23, 83, 94, 39, 59, 24, 79, 48, 58, 67, 82, 26, 93, 90, 94, 95, 72
Juan Toscano-Anderson, 72, 48, 62, 88, 59, 53, 52, 39, 87, 15, 22, 71, 73, 57, 72, 72, 98, 51, 66, 72, 60, 73, 85, 57, 79, 61, 59, 1, 1, 1, 1, 0, 2, 5, 1, 2, 3
Julius Randle, 88, 63, 92, 27, 44, 28, 83, 84, 74, 36, 46, 70, 17, 99, 66, 66, 55, 49, 56, 79, 67, 93, 69, 68, 62, 38, 25, 64, 28, 90, 15, 72, 18, 93, 41, 85, 52
Justin Holiday, 34, 11, 8, 58, 48, 58, 14, 42, 14, 99, 80, 59, 12, 3, 3, 97, 95, 41, 93, 55, 80, 5, 5, 3, 24, 79, 49, 13, 34, 83, 64, 95, 60, 65, 78, 37, 23
Justise Winslow, 63, 74, 81, 83, 79, 90, 85, 19, 94, 15, 23, 3, 91, 7, 7, 15, 24, 16, 19, 23, 24, 6, 6, 4, 25, 2, 11, 77, 33, 15, 33, 26, 11, 34, 12, 41, 30
Jusuf Nurkic, 66, 94, 97, 80, 64, 89, 47, 4, 1, 15, 23, 30, 66, 4, 4, 15, 23, 15, 18, 94, 84, 99, 77, 88, 51, 17, 23, 94, 76, 3, 66, 23, 9, 23, 21, 20, 79
Karl-Anthony Towns, 64, 80, 90, 31, 80, 60, 65, 27, 53, 42, 77, 55, 33, 92, 93, 78, 79, 35, 79, 81, 82, 94, 88, 77, 63, 37, 81, 2, 1, 2, 1, 1, 2, 2, 4, 3, 2
Keita Bates-Diop, 10, 74, 71, 52, 48, 70, 71, 61, 89, 14, 23, 96, 23, 4, 4, 14, 23, 15, 18, 14, 25, 7, 6, 86, 67, 56, 18, 2, 1, 0, 2, 4, 2, 2, 3, 2, 1
Keldon Johnson, 26, 48, 67, 26, 7, 67, 88, 47, 18, 91, 51, 49, 73, 50, 66, 61, 71, 62, 54, 50, 73, 67, 71, 60, 89, 84, 83, 68, 58, 43, 68, 90, 91, 56, 30, 82, 34
Kelly Oubre Jr., 6, 56, 37, 69, 42, 71, 39, 59, 25, 90, 76, 46, 28, 62, 67, 80, 56, 53, 42, 59, 90, 7, 6, 69, 52, 73, 72, 33, 52, 84, 70, 96, 50, 66, 67, 58, 52
Kenrich Williams, 71, 76, 52, 85, 25, 23, 89, 83, 94, 13, 18, 23, 36, 77, 91, 63, 76, 48, 94, 14, 25, 74, 64, 79, 58, 66, 54, 47, 70, 48, 13, 39, 44, 55, 54, 63, 63
Kentavious Caldwell-Pope, 34, 26, 18, 89, 29, 62, 17, 34, 36, 81, 57, 28, 40, 72, 54, 92, 91, 63, 79, 52, 99, 7, 7, 36, 34, 72, 69, 3, 1, 3, 3, 3, 1, 2, 3, 1, 1
Kenyon Martin Jr., 34, 66, 59, 9, 66, 72, 60, 62, 82, 38, 39, 75, 56, 4, 4, 14, 21, 10, 17, 78, 91, 66, 65, 81, 54, 75, 56, 68, 89, 9, 93, 41, 55, 13, 55, 41, 56
Kessler Edwards, 2, 59, 52, 60, 64, 92, 16, 30, 31, 11, 18, 84, 2, 5, 5, 14, 20, 17, 17, 72, 93, 7, 7, 75, 33, 86, 25, 24, 18, 61, 5, 61, 48, 35, 77, 19, 24
Kevin Durant, 82, 18, 75, 23, 64, 26, 93, 96, 16, 76, 90, 50, 34, 98, 92, 94, 91, 69, 89, 51, 50, 86, 93, 27, 95, 25, 73, 97, 50, 38, 89, 86, 79, 99, 91, 88, 80
Kevin Huerter, 57, 10, 23, 39, 41, 37, 17, 62, 37, 84, 87, 55, 24, 58, 58, 87, 76, 73, 64, 54, 66, 8, 7, 35, 80, 67, 92, 13, 42, 89, 54, 84, 90, 77, 74, 63, 46
Kevin Love, 58, 68, 95, 3, 43, 70, 89, 48, 53, 55, 62, 13, 47, 55, 52, 70, 63, 35, 78, 80, 82, 95, 77, 71, 79, 60, 78, 26, 41, 80, 54, 99, 70, 61, 69, 18, 48
Kevin Porter Jr., 95, 41, 40, 82, 36, 90, 4, 23, 37, 64, 53, 52, 5, 90, 66, 56, 89, 94, 75, 15, 26, 9, 8, 31, 99, 24, 99, 38, 21, 98, 46, 36, 99, 91, 67, 87, 42
Kevon Looney, 54, 94, 89, 33, 79, 39, 86, 27, 95, 13, 17, 81, 30, 5, 5, 25, 19, 10, 16, 80, 62, 71, 72, 95, 55, 18, 13, 89, 86, 9, 81, 10, 6, 22, 7, 16, 12
Khem Birch, 37, 86, 54, 32, 84, 74, 48, 22, 96, 21, 13, 74, 28, 5, 5, 24, 13, 7, 16, 91, 62, 18, 8, 96, 36, 21, 13, 85, 43, 34, 56, 13, 9, 17, 24, 10, 97
Khris Middleton, 86, 21, 54, 68, 28, 22, 46, 89, 36, 60, 83, 82, 18, 93, 73, 86, 57, 79, 85, 50, 52, 84, 81, 38, 72, 28, 96, 49, 37, 97, 53, 73, 66, 95, 78, 82, 64
Killian Hayes, 89, 25, 37, 91, 62, 54, 36, 48, 57, 69, 59, 39, 54, 81, 47, 23, 18, 84, 59, 15, 26, 27, 9, 42, 62, 46, 21, 57, 11, 66, 14, 42, 21, 65, 19, 77, 29
Kristaps Porzingis, 46, 83, 87, 60, 97, 85, 89, 25, 8, 21, 13, 9, 93, 5, 5, 23, 6, 0, 20, 15, 26, 18, 18, 25, 22, 4, 5, 64, 68, 57, 31, 98, 24, 72, 61, 46, 64
Kyle Anderson, 70, 54, 86, 81, 71, 89, 80, 41, 79, 45, 46, 47, 28, 69, 47, 62, 53, 60, 56, 59, 49, 28, 18, 79, 48, 63, 51, 83, 35, 34, 30, 27, 31, 52, 30, 60, 32
Kyle Kuzma, 65, 58, 91, 25, 70, 86, 82, 10, 27, 78, 79, 94, 76, 81, 77, 77, 66, 64, 56, 66, 58, 71, 79, 60, 57, 56, 47, 57, 52, 68, 49, 88, 46, 79, 36, 83, 62
Kyle Lowry, 97, 16, 38, 61, 38, 32, 15, 85, 32, 81, 74, 41, 77, 74, 96, 84, 64, 83, 82, 16, 27, 28, 18, 35, 44, 35, 93, 13, 51, 93, 69, 65, 59, 85, 91, 81, 81
LaMarcus Aldridge, 7, 83, 72, 3, 88, 33, 91, 36, 21, 20, 13, 87, 36, 6, 6, 22, 5, 1, 10, 100, 81, 97, 76, 81, 68, 32, 61, 51, 72, 78, 70, 84, 62, 62, 79, 8, 95
LaMelo Ball, 94, 62, 70, 85, 39, 69, 54, 58, 18, 83, 70, 27, 47, 73, 77, 58, 93, 91, 63, 17, 27, 28, 28, 48, 49, 37, 71, 41, 12, 40, 41, 85, 91, 91, 66, 96, 37
Lamar Stevens, 13, 69, 42, 65, 63, 25, 73, 55, 66, 58, 97, 73, 74, 61, 50, 22, 4, 46, 52, 19, 27, 72, 65, 72, 55, 73, 28, 73, 45, 36, 51, 22, 16, 48, 44, 42, 59
Lance Stephenson, 95, 9, 68, 68, 8, 4, 0, 100, 1, 20, 14, 10, 93, 6, 6, 21, 4, 1, 10, 17, 28, 29, 28, 25, 21, 5, 2, 28, 79, 95, 9, 21, 17, 74, 52, 72, 89
Landry Shamet, 43, 3, 5, 3, 11, 22, 79, 58, 42, 92, 44, 74, 45, 6, 6, 91, 96, 65, 68, 17, 28, 29, 28, 25, 21, 87, 83, 22, 13, 66, 55, 80, 79, 59, 46, 45, 14
